Id,SvcCtrName,TelNo,Address
1,PERODUA SALES TASEK IPOH,05-5470433/05-5476433
2,DMM SALES SDN BHD,05-5278154,NO 47 JALAN TUN ABDUL RAZAK 30100 IPOH PERAK
3,CAR SPA SDN BHD,05-2555328
4,BENGKEL KERETA WAN,019-5678765,JAMBATAN SG KATI
5,BENGKEL KERETA SAMURI,011-6576574,SURAU FLAT ASHBY
6,MW TEGUH ENT. (BATERIKU.COM),019-4461643/011-51960047,NO. 1 TINGKAT BAWAH PERSIARAN KEMUNTING 2 34600 KAMUNTING
